corrected,family_ses,pay_per_week
"Today is my 25th birthday and I am in hospital having my first baby child. After some hour's I had it. Its a baby girl I said, The sister rang my husband and he came over straight away and we said we would call her [female name], [female name]. Two weeks were over and I came out of hospital with [female name], my Mother was over joyed with her and she was first to take [female name] for a walk. Mother took her son for that when she came in she felt as if her feet were dropping off. Mother gave me some little hints on how to do the house work and look after [female name] at the same time so that was alright. After a year [female name] could walk around so my husband and I put some wire all the way around the garden so she could not get out. May 8th was her christening and it was today I could not find her anywhere she had been climbing up the apple tree in the garden and got stuck and trying her hardest to get down before I saw her but it was no use I saw her before she could get down I got her down and gave her a bath and got her ready for the christening she was all in white, in the church she was as quiet as a mouse but when the vicar took her she made a lot of noise and screamed when the cold water went on her forehead. On the way home mother said shall I have [female name] for the afternoon I said yes please. And I got on with the house cleaning and other jobs that need doing so every Wednesday afternoon Mother has [female name] and I do my house work.  Words: 306",4.0,237.25
"When I am 25 years old. I hope that I will be married and raising a family I would like to, have about two children I will be working in a shop I hopeI’d go to bingo and to bars. drinking bars and have agood singsong I couldgo to the air force, and fly Planes or the army or the navy because. I like going on ships I hope one day I will go around the world in a lout and see the world but I spend most of my time with my babies. at home. and if I did go around the world I would not leave the baby at home I would take them with me and my husband as well We would all go I may be a part-timehairdresser. Because I like doing dolls heir at home. I Think there is no place like home if I went away To stay for a bit I would all way come home again  Words: 169",4.0,221.25
"Now that I am 25 and I have left college I think I will go and ask for a interview at the fire station and in my spare time I will do what I used to do as a young lad I will collect stamps and make models out of balsa wood and I will give them away to children. I am interested in a lot of thing like games, reading, stamp-collecting, but the thing I am most interested in is bird-watching there are many kinds of birds in the world there are blue-tits, grey tits , black-birds, song thrush, and many others there are so many I dont remember all of their names. I live in Manchester but I was born in [London borough]. The name of the country I live in is England and I like it here very much. I worked in a sweet factory in liverpool before I left college it was called barrets sweet factory.  Words: 158",4.0,729.0
"My age is twenty five and I am a motor racing driver. In my spare time I go to the swimming Baths sometimes I go with my family, When I am at home I do a lot of gardening and me and my family always go over the continent for our holidays. my job apart from motor racing is a mechanic. When I am racing over the continent on tracks such as spa, watkins glen and many other tracks my wife and my children stay restless at home. When I am older I want to be manager of a motor racing firm. In the house I do a lot of house work such as hoovering the floor and dusting the furniture my wife does the rest. my family car is a lotus elan + 2. The firm I drive for is lotus.  Words: 142",4.0,425.0
"I would like to work with children, from about the age from 4 to 10 years old. I am going to work in a school, I earn up to ten pound a week I get up at 7 o'clock in the morning. I am ready for school at eight o'clock. I catch a bus at about 1/4 past eight, I am in school about 25 to 9. In my class room I have 10 children in my class. They can play all sorts of things, at play time I take them at we play ring a ring a roses. I go and get my tea. At dinner time we all go home. The school does* start at two o'clockand finish at 4 o'clock. We have a sports day and all my class are winning in the egg and spoon race. [female name] is the winner of the egg and spoon. The prize is one of three a box of chocolates a painting set or a book. [female name] said that she wanted the painting set. The day has gone very quicklyI left school at 1/4 past 4 the is 9 mins early, I could just see the bus leaving the next bus stop. The school is the [convatec]for girls I worked at the [convatec]for five years when I had to move to [village]. The house was tall and big, 5 bed rooms 1 dinning room 1 drawing room a study and music room. 1200 pounds for the house. 1 stable 2 homes* and field.  Words: 258",3.0,133.0
"My age is 25 and I work as a hairdresser, In  (place) I have to get up very early in the morning. I have a very nice house and I have a dog. I live with my husband and he is a doctor. I have a very long day because I work from eight in the morning till 9 at night and I get very [w****]. I like to sort the garden on my spare time . I have a lot of friends I speak to them a lot. My day off is a Wednesday and I go shopping then , and buy all the things I need, then that day goes in and its back to work on thursday and all the days go in and thats the week by. I go swimming a lot and skating. On Sunday i go away for the day and come back at night to cook a meal again and its back to work on Monday but I dont mind because I get the half day .  Words: 174",4.0,224.0
"I am now 25 years old I work in a office. In the office I am a short hand typist to the manger of [surname]'s travel agency, I work from 900 am - 400 pm five days a week. My pay is xxxx25 a week inclusive. I enjoy my work as I go to different offices in England for confidential reasons. My hobbies are Ice, Skating Ballroom Dancing, and playing the Guitar. I own a small flat in [town] near the cowl* room. Twice a week I visit my family and go and have tea with them. The flat is not to bad I clean it Saturday and cook my own food. My life I lead is very quiet, I go out with my fiecne almost every night. I am being married on June 3rd. We have brought a house in [village], [city], and I hope to have 3 children by the name of [female name], [male name], and [male name]. I am very happy with all these things, Work, my life and my Interests.  Words: 174",3.0,325.0
"I am now married, I have no children yet, and I got married when I was nearly 24 years old. I am a teacher at a junior school in Leeds. I am a teacher of reading, needlework, and art. At night I like to watch television with my husband or read an interesting book. I like my work very much. I enjoy my myself very much at the weekends. I sometime take my sisters, two little girls out for her, if she is very busy at the weekends. I visit my mother very often and try to take something up for her. I hope to have a baby of my own very soon. I never really have much time for going to the pictures at weekdays, but I try to go at the weekend. I sometimes go out with my friends if I have time when I get home from work. I get home at about half past-five to six o'clock. I don't really have much time for shopping as I do it at the weekend. I go in town for most of my shopping, and the rest I do round abouts. My husband is a teacher as well but not at the same school as I. He is a teacher of woodwork art and geography and history. I hope to have a little girl if I did I would call it a name that we both agree on.  Words: 240",4.0,473.75
I am a bus driver. I driver a near [village] I like to go fishing. The bus i drive is a big red one It has six wheels It has on the side Midland Red. It has thirty six seats live in a big* house by the side of the sea. I go in my car to the [pons]. I like to make[pickch]of elephant. On Saturdayi like to dig the garden On a Fridayi going to the cubs sometime I go to watchfootball mash my favourite team is Leicester city.  Words: 95,4.0,430.0
"""Now I am twenty-five years old and I have left college, before I worked in college for three years and now I am training to become an air pilot. I fly at the moment in an old second world war Spitfire, later on I Shall be able to fly more advanced aircraft. I have a couple of Mates, their names are [name] [name] and [name]. We have an old General named General [name]. There Goes the Siren that means that I Shall have to go and report for flight duty, with the Other Chaps. Today it's a practice flight and I have been appointed Squadron leader We are taking off now. Ten thousand feet to go up now. two thousand four thousand eight thousand ten thousand feet. Now we must dive down and we must Jump out of our aircraft. I am Speeding down Now Jumping. phew made it, oh no I'm going to hit a barbed wire fence, yeachouch eek wow that hurt, Help I'm Stranded Help me please ah at last someone is coming with an ambulance. """"Hold"""" on we will soon get you down"""" Right sir hold my neck. Okay now you shall have to come to the hospital with us. Well I have ended up in hospital but I Managed to Jump from my aircraft.""  Words: 221",4.0,825.0
I am 25 years old my name is [female name] [surname]. I have got a flat in London. Now I am at collegetraining to be a teacher. I am a second year student. I stay at [college name] college I am a student teacher at [school name] school. My boyfriends name is [male name] [surname] and I am engaged to him. My mother and father live in [town]. In my spare time I go dancing. In three weeks time I am leaving college and going to start being a teacher. My hobbies are swimming dancing and art. In six weeks time I am getting married. For my honeymoon I am going to France. I am getting married in [church name] church because I was christened there. Where my mother lives I have got a cat called Toffee. She is six years old and we have a dog called Tobey he is five years old. I am going to live in Ile of white. I am going to live in Ride Ile of white.  Words: 174,3.0,400.0
"I am now 25 years old. My home is in Guildford at a place called [area]. My interests now are fishing and shooting. I still go sometimes to the same places as I did when I was a little boy. I shoot now at [location] N.RA ranges and I am not doing too badly this year. My house is an old tudor place. It was pretty horrible when I first moved there, but with a bit of hard work, it is now very pleasant. My mother and father are still living at the same place. My job is at [company name] with [company name] in [town]. I get quite a good salary for a person of my age, and I like my job very much. I spend quite a lot of my home life fishing and shooting, and often go fishing with my father like when I was small. I am not married but I have a nice sports car. Sometimes in my job I have to fly up to Scotland or Ireland for a meeting. My job name is branch manager, in which I am in charge of a small factory near [Lowestoft]. After I had left [school name], I went on to Leeds university to get a degree and luckily I got one in Latin. I hope soon to go on a trout fishing holiday in Devon on a small river I know which has plenty of fish in and some big ones to. It is on a moor in about the middle of Devon.  Words: 257",3.0,2000.0
"I am 25 years old and have dark brown hair, hazel eyes and wear glasses. I lived at 16, [street name], [London suburb], Surrey. I am a keeper* at London Zoo. I look after two monkeys called Kim and Jim they are very naughty monkeys, and sometimes help with the seals. I get their food ready apples, oranges and other fruits. Then I go to Kim and Jim's cage. They are there to meet me. I have a lot of trouble to keep them in control. They climb all over me me. If they are lucky they find a banana in my pocket. The seals are very funny there are four of them and their names are Cheeky, Greedy, Podgy and Sammy. One day Cheeky came up to the gates. When I was not looking he got out. (I had forgotten to shut it.) It was terrible trying to get him back. we chased* him and at long last he went back*. I enjoy this Job and I get good pay. At home I have three guinea* pigs called Strip who is a male and stripy and Whiskers who are females, and a fish called Spotty.  Words: 191",3.0,26.7884615384615
"I am now an Athlete. I train every day for eight hours. I do my training at home or at [athletics club]. When I have my free time I drive my car to go to [city] and see the interesting things to be seen. I often go swimming because it is very good exercise I seldom watch the Television because I have no time for it. I am not married. My parents are very proud of me. My sister is 18 years old, she to wants to be an athlete. My brother is 23 years old, but he* wants to stay on and finish school. When the winter months come I train 9 hours per day on the indoor track at [athletics club]. I live in a flat with my sister whose name is [name]. [name] helps me with the house-keeping and the cooking because she is a better cook than me. When I have time I sometimes sit down and write a story or read an exciting book. So Occasionally I feel tired but I carry on just the same. My interests are going to the pictures, playing tennis, singing, football swimming and writing books. I have a red Jaguar car with automatic steering. I also have a horsewhose name is Candy My sister spends most of her time riding Candy. I keep her at a riding school in the country. When I have plenty of time off I like to visit countriessuchas Sweden, Denmark Australia and America. I think that Sweden is the best country because everywhere is so very clean. The country is so clean because everything is run by electricity. A few days ago men went up in a space rocket to explore Jupiter but they won't be back for another year.  Words: 300",3.0,237.5
Iam married and my husbands name is (name) he works as a fishing man and have to children their age is three and five one is a girl and one is a boy the girls name is (name) and boys name (name) and (name) goes to schooland I go with (name) to collect him we live in a house of our own it has five bedrooms and a garden house outside and a big shed for the children toys and a mother shed for them to play in and we live in (place) and every three weeks I and the children go to see my mother and father we stay for too days and we go out to the sands if it is and my mother [dreves] . the **** we go back in the train and the children go to the back and font of the train or once or twice my mother might take us back and we usually stop and have something to eat and the children go out for a walk and me and my mother talk and then should them to come when we get there I buy my mother something and the children got her somethingtoo we go home have some tea and the next day my mother goes home and I get my house-work done and take (name) to school and the girl next door looks after the baby and go for messages and come home and give the girl somethingfor herself and in the afternoonthe girl comes to take (name) out she goes out and I go next door to talk to (name) and then a little time after I get some food made for (name) comingback and we go to the school to collect(name) and then their father comes home has his tea and we put the children to bed but (name) sayshe should get to stay up later and (name) i say no and then they go to sleep and the next day comesandthe same happensagain unlesssomethinghappens.  Words: 349,4.0,8.09615384615385
"I have just arrived at the office. The boss tells me to go to London where there has been a murder committed. I get into my van which has (name) printing company all painted over * . I go to the station and park my car. The next thing was to go to the phone and tell my wife I wouldn't be home for a few days. I rush out of the phone box just in time to catch the train to Victoria. When I get to Victoria I ask the policeman which way to Baker Street. He directs me to it saying its only a mile away. I soon get lost and wander into a shopping centre. There I go and buy an old record which was going cheap in the record shop. I then asked someone the way to Baker Street and I was told I was already in it. I find number 10 and go in. There I am told the murder was committed in flat D. When I get there, there was only a shop and I was later told it was only in the paper to get customers to come to the shop so after a look round the shops I go back to (place), where my wife says she is expecting a baby.  Words: 219",3.0,750.0
I hope to be a Spaceman at the age of 25 I will hope to explore planets and find people of different races in a space rocket of my own design and for carrying extra fuel for a returnjourney to earth. When I am about 50 I will retire and have a family of my own. We might live in a semi-detached house and would still like to study the stars. I will be launched off at cape kennedy 2 to 3 million gallons in three kind o f balls* at the side of the second stage I would use the fuel in the balls* and then 360 feet of fuel power from the engine which would take me in to an orbit around the planet I was to land on Then on landing find out what lives* on the planet and samples* and then take* them* back* to* earth*.  Words: 152,3.0,2500.0
"I am 25 I make a lot of friends. I love doing people hair. i go out nearly every night with my friends. I like knitting little things not big things. On Monday and Thursday I go *** to choir. I do not go ** to the [(per)*] cinema a lot. I am married and I work at the hairdresser's in the mornings and until 3 o'clock in (in) the afternoon. I have a lot of fan at work and at home with my [babl],* baby boy. I like (1) ironing and washing up [dut] not anythingelse I like making cakes and dinners. I go to art classes in ,Wednesday, Wednesday I like buying new shoes and clothes. I like watchingtelevisionin my spare time I do not smoke at work but I do at home. I like going to church. I go 4 ,[U], times a [dr*k]. Some night I miss going.  Words: 158",4.0,80.0
I amnow 25 years old and I am a teacher I wake up 7.o'c and go to teach the children at 9 O'C we start the day of by him singing and then we have sums and mentalarithmeticwe have halfa hour of [thirs] then the children go out to play the children have 15 mint of this what we have our tea break and after play we have pe we have [Irdind]* [punders]* we have halfan hour of this and then play and then we have history and then play and then we have since and then it is timeto go home after i have goon home I relace and watchtv and that ends my day  Words: 123,1.0,404.0
"I am 25 years old now and I am a policeman. On my beat I go all round the town and sometimes on Saturdays I go to football matches and see that there is no fighting. I have a wife and a boy, I get the house from the police and I get xxxx20 a week. I don't think it is a dangerous job like some people think, but sometime the are fights late at nights when the public houses close. I like this job very much and I would not swap it for any other job. When I go on duty at night I feel quite lonely because the is no one with me accept sometimes another policeman who has the same beat as me. The is not much to do accept patrol the streets and when there is something to do I do it. I am in the police football team and I play centre half. My hobby is swimming and going to football matches. Sometimes I go around to some schools and teach them about road safety. I went in for the job when I was sixteen and I liked it then very much. I am interested in football because I play for the police and I support Leeds Utd, I have support them since I was 9 years old. The house I have got has 3 bedrooms, 1 living room, 1 kitchen, 1 bathroom, 1 hall, 1 landing, and 1 lavatory. I am in the police force club and I like it very much.  Words: 257",4.0,500.0
"When I am 25 years old I will try to be a beauty Queen because it will be my last year if I win I will go on to another then Miss World. Then I will get a job as a shopkeeper. I might get married and I will become a house wife and I would by a lot hens and hamsters, Gerbils and some white mice and two to three cats and I will call one Topsy the 2nd after Topsy my Tabby cat and some Ginger Guinea pigs like Sandy. Some dogs I will get a black and white sheepdog and name it Sally my dog was called Sally and an Alsatian and a pekingese. We would buy house in the country near a farm. I would get a car it would be a cortina. We would get a caravan and we would buy a Zepher 6. I want an old house and fairly large. I Like to travel to America, Ireland and Spain. I like sewing and knitting I would make my own clothes I like watching cricket I like swimming, skating and Riding I might even get some horse stables and horses of my own  Words: 199",3.0,60.0
My interests are I like Trains I have a big garden I work at the Railway station I drive trains. I am not married. I have a bungalow I like my job on the railway I shouldn'tcome and pull the mail vans to London and back I cook my own tea I get up at five and go to work when I am at home I like to run my railway a round the garden I go out and enjoy myself. When I don't want to go out I stay in and do some job around the house I have a car and a dog my dog is called brandy I take him out for a run every Sunday some times he goes and dig up the rose bush I do not scold him I just tell him not to do it again. I go to the club I have had a ride on the flyging [xxxxxxx] twice. I took some photograph of it and I have not defeated the yet.  Words: 173,4.0,375.0
"I am 25 and I am leading a good life . I work in an (company) The work we mostly do is of putting in Electrical appliances, likewise fires , cookers and fixing socket into houses. At home I cook for myself and cater for myself I am not married , I have a car which is a Ford Escort 1300 G.T. My house is a two apartment, it is ensured and sometimes my friend (name) stays the night. My interests out of work are Football , some Saturdays when the local team is playing at home I go and support them. Other interests are watching television, and listening to the pop music on the radio. My favorite singers are, The Amen corner and Des O' conner. My worst singers are, Tom Jones, Dusty Springfieldand The Beatles.  Words: 138",3.0,225.0
"25 years old                                                                                                                                                                                                                      29.4.69      When I reach the age of 25, I'm hoping that I have already got a job for myself like engineering, or being a chef. I would like to be a chef because there is a lot of money in this job. Also there is 5 to 10 years of training to be a chef that is why I would like to be a chef. I also said I would like to be a engineer. you still get about the same amount* of money being an engineer as well as being a chef so either job would do me for a job. At 25 I am going to have enough money to buy my ownhouse that would be mine I will not live there until I have save up enough money to buy some of my own furniture for the house and then I can live in the house or the house will be living worthy or habitable. I hope I will be living on my own at the age of 25 years old.  Words: 178",3.0,375.0
"""""""I am now married I have three children. But I do not see much of them because I am at the Police station at six o'clock in the morning. To nine at night. On Sundays I see the children because I am on night duty then. And so I work a whole day from Sunday nig-ht to monday night. My main pastime on sunday Is amusing the children. I have a boy six years old called [male name] and two girls aged three and five my wife is 22 years old. The Sergeant at the station is a hard man but we like him. We have an hour for lunch and no more. If we are back late the Sergeant wants to know why. My friend P.C. [surname] is always being shouted at. It is not my second year in the force. I have done two years of training. I like night duty better than day because it means I can get away from Sergeant. He only works at day time. If Sergeant is in a mood I pity [surname]. I still dont see why he has to pick on [surname]. My wife wants me to pack it in but I say I am earning good money and I like it so why should I. In the canteen [surname] and Me have at bit of fun but if Sergeant should here us weve had it. The wife and I have got a little house in Norwich.""  Words: 246",3.0,937.5
"My name is [male name] [surname] and I play for Plymouth Argyle I signed on as an apprentice and worked my way up to the first team I started football when I was 8 years old and my friends who are in the same team as I am were in the same school as I was their names are [male name] [surname] and T [surname].We all grew up together and new each other in the infants school. I've had 2 under 23 caps for England and so has my friends. Last season we came third in the division, we are in division three, and are hoping to get promoted back up to division two. [male name] [surname] is our top scorer with 54 goals in a season he was hoping to beat Dixie Deans record of 63 goals but he was only 10 of it. In the summer we are allowed to go on holiday but have to report every Tuesday for training and medical checkup but after we are free to go when we want to.  Words: 172",3.0,425.0
I would work on a farm I would dive one off the car in the farm I would feed the cows and the pigs I would toll the fields and set corn in the fields too and i would set the potato in the fieldsand I would cut them when it is bigenough and I would set the peas in thefields too and I would cut the peas as well I would cut the corn and I would [sanck] the corn as well.I would not get married I would live with my mother and father in a little farm home in norfolk. watchtelly everynight when I came home form work when I have seen telly I would have tea  Words: 123,2.0,220.0
"I am 25 years old I am a Footballer ** I am leading A happy life I am a good Footballer. My interests are Art and Football. My home is a big one there are 3 bedroom's I do Art in one there is a big garden so I can practice my Football I play for Celtic. I have a lot of money for playing for* a team like Celtic. there are thousands of [sputie sputing] Celtic. We are playing for the Cup at [hadun Ranjus skur] then 1 score to make it one, one then we scoreagain 2, 1 to use then one by me. 3, 1 then 4, 1 then the whistle goes. Celtic won the cup thousands Cheer us as we workoff in to the dressing room's. My home is in [city]. Celtic play many many Games the Celticflag is Green, with gold. but the colors they play (in) on the field are Green and white. The Greatest colors in the worldGreen and white hoops. I give the children my [**gras] the Great Celtic  Words: 182",4.0,190.0
My job is a very dangerous job I climb very steep mountains my job is called mountaineering. I am climbing a mountain next week Today I am going to Italy I am staying at Lido di Jesolo. I have come over to Italy to see it I can be a travel agent. I have just receiveda letter saving I can help at a travel agent. I think this travel agent is better than climbingmountains I think I will give it up. After I had been there six weeksI was sent on a excursion to see a holidayresort at Rome it was a long journey to Rome the hotel was called Antonella. In the hotel Antonella it was 3 story high. The Room I stayed in was room 29. While I was there I inspected the hotel and I found every thing in order except for one thing it had no maid bell so if you wanted any drinks you co  Words: 164,3.0,550.0
"I am 25 years old and I have just left a college which only deals with music. I am now a music teacher in a Grammar School in London. My wife and I live in the country in a large modern house. Music takes up most of my time but in the evening and on Saturday I am gardening because we have only been in the house six months and our garden is extremely large. I live thirty miles away from London and each morning and evening I make the journey into town and back. If I leave my house at 8.30 am. I get to my school which is on the outskirts of London at about 9.a.m. My wife is very good to me, when I get home in the evening she has a big dinner waiting for me in the dining room.  Words: 144",4.0,656.5
